Wall time,Step,Value
1610139210.096637,247,1.0121170282363892
1610139368.305074,248,1.0090581178665161
1610139528.761991,249,1.125259518623352
1610139689.125533,250,1.049834132194519
1610139849.448096,251,0.9952756762504578
1610140009.503237,252,1.0303544998168945
1610140167.913006,253,0.9768202304840088
1610140326.533998,254,0.9818940162658691
1610140485.003714,255,1.081865906715393
1610140644.160645,256,1.081115484237671
1610140803.531123,257,1.0871371030807495
1610140961.744566,258,0.9995685815811157
1610141119.864275,259,0.9865062236785889
1610141278.034538,260,1.027657151222229
1610141436.943528,261,0.9982689619064331
1610141595.113691,262,0.9478978514671326
1610141753.764687,263,1.0158171653747559
1610141913.211186,264,1.0246104001998901
1610142072.056969,265,1.0496470928192139
1610142231.413365,266,1.102317214012146
1610142390.4341,267,0.9894058704376221
1610142549.709132,268,0.9476796984672546
1610142709.9698,269,1.037793755531311
1610142869.041522,270,1.0317225456237793
1610143026.656404,271,0.9592578411102295
1610143187.463967,272,1.008925437927246
1610143346.131622,273,0.9783085584640503
1610143505.319277,274,0.9512491822242737
1610143665.207862,275,0.9832077026367188
1610143825.135865,276,1.005427360534668
1610143985.828479,277,1.0227220058441162
1610144145.837476,278,0.9952630400657654
1610144305.307076,279,0.9905823469161987
1610144482.945963,280,0.9472495913505554
1610144647.217974,281,0.9534250497817993
1610144811.740852,282,1.042335033416748
1610144974.696682,283,0.9506213665008545
1610145142.343957,284,0.960967481136322
1610145315.624376,285,0.9791772961616516
1610145480.487683,286,0.943286657333374
1610145646.6453,287,0.9992769360542297
1610145808.650012,288,0.9868006110191345
1610145981.441209,289,0.965047299861908
1610146145.249815,290,0.9956499338150024
1610146305.457514,291,0.9360027313232422
1610146465.999965,292,0.9342514276504517
1610146640.559482,293,0.9971797466278076
1610150631.080413,294,0.9450923800468445
1610150975.363767,295,0.9199712872505188
1610151150.482271,296,0.9717856645584106
1610151315.800824,297,0.9367485642433167
1610151484.158084,298,0.9954422116279602
1610151648.957839,299,0.9424939751625061
